Residence_Addresses_City,elec_date,elec_year,elec_type,total_voters_asian,total_voters_black,total_voters_hispanic,total_voters_others,total_voters_white,voted_voters_asian,voted_voters_black,voted_voters_hispanic,voted_voters_others,voted_voters_white,perc_turnout_asian,perc_turnout_black,perc_turnout_hispanic,perc_turnout_others,perc_turnout_white,FECDonors_TotalDonationsAmount,FECDonors_NumberOfDonations,mean_donation,total_voters_$1000-14999,total_voters_$100000-124999,total_voters_$125000-149999,total_voters_$15000-24999,total_voters_$150000-174999,total_voters_$175000-199999,total_voters_$200000-249999,total_voters_$25000-34999,total_voters_$250000+,total_voters_$35000-49999,total_voters_$50000-74999,total_voters_$75000-99999,voted_voters_$1000-14999,voted_voters_$100000-124999,voted_voters_$125000-149999,voted_voters_$15000-24999,voted_voters_$150000-174999,voted_voters_$175000-199999,voted_voters_$200000-249999,voted_voters_$25000-34999,voted_voters_$250000+,voted_voters_$35000-49999,voted_voters_$50000-74999,voted_voters_$75000-99999,perc_turnout_income_$1000-14999,perc_turnout_income_$100000-124999,perc_turnout_income_$125000-149999,perc_turnout_income_$15000-24999,perc_turnout_income_$150000-174999,perc_turnout_income_$175000-199999,perc_turnout_income_$200000-249999,perc_turnout_income_$25000-34999,perc_turnout_income_$250000+,perc_turnout_income_$35000-49999,perc_turnout_income_$50000-74999,perc_turnout_income_$75000-99999,CommercialData_EstimatedHHIncomeAmount,total_voters_college,total_voters_no_college,voted_voters_college,voted_voters_no_college,perc_turnout_college,perc_turnout_no_college,mean_age,voter_population,voted_voters,state
Livermore,2016_11_08,2016,General,4749,287,9037,2161,35915,2406,157,5238,1159,24634,50.66329754,54.70383275,57.96171296,53.63257751,68.58972574,4537698,52551,86.34846149,272,5966,9391,456,6916,6529,7337,883,6288,1077,3089,3251,160,3766,5754,297,4309,4159,4932,669,4115,807,2055,2167,58.82352941,63.12437144,61.27143009,65.13157895,62.30480046,63.70041354,67.22093499,75.76443941,65.44211196,74.93036212,66.52638394,66.65641341,159543.6565,25888,7197,19025,5239,73.48964771,72.79421981,49.74422337,67089,33594,CA
Livermore,2014_11_04,2014,General,4749,287,9037,2161,35915,1037,72,2259,454,14111,21.83617604,25.08710801,24.9972336,21.00879223,39.28999025,4032966,46730,86.30357372,272,5966,9391,456,6916,6529,7337,883,6288,1077,3089,3251,80,1981,2865,169,2199,2220,2579,458,2111,586,1259,1222,29.41176471,33.20482736,30.50793313,37.06140351,31.79583574,34.00214428,35.15060651,51.86862967,33.57188295,54.41039926,40.75752671,37.58843433,159543.6565,25888,7197,10792,2910,41.68726823,40.43351396,54.04868856,67089,17933,CA
Berkeley,2020_11_03,2020,General,8549,5942,6388,3626,39425,6659,4668,5113,2779,33180,77.89215113,78.55940761,80.04070131,76.64092664,84.15979708,48190658,294089,163.8641976,1050,6466,6376,777,3580,7520,12074,945,6614,2705,5759,7646,864,5275,5110,660,3020,6334,10224,809,5961,2106,4426,6105,82.28571429,81.58057532,80.14429109,84.94208494,84.3575419,84.2287234,84.67782011,85.60846561,90.12700333,77.85582255,76.85362042,79.84567094,149833.4451,27403,3717,25086,3285,91.54472138,88.37772397,49.40733388,96146,52399,CA
Berkeley,2018_11_06,2018,General,8549,5942,6388,3626,39425,4661,3653,3609,2000,28051,54.52099661,61.47761696,56.49655604,55.15719801,71.15028535,47537149,289391,164.2661624,1050,6466,6376,777,3580,7520,12074,945,6614,2705,5759,7646,666,4099,3972,543,2457,5197,8578,684,5149,1590,3324,4768,63.42857143,63.39313331,62.29611041,69.88416988,68.63128492,69.10904255,71.04522114,72.38095238,77.85001512,58.78003697,57.71835388,62.35940361,149833.4451,27403,3717,22006,2776,80.30507609,74.68388485,50.57969146,96146,41974,CA
Berkeley,2016_11_08,2016,General,8549,5942,6388,3626,39425,4602,3770,3636,2066,27737,53.83085741,63.44665096,56.91922354,56.97738555,70.3538364,47303440,288052,164.218405,1050,6466,6376,777,3580,7520,12074,945,6614,2705,5759,7646,684,4140,3898,563,2440,5154,8510,688,5033,1582,3340,4848,65.14285714,64.0272193,61.13550816,72.45817246,68.15642458,68.53723404,70.4820275,72.8042328,76.09615966,58.48428835,57.99617989,63.40570233,149833.4451,27403,3717,21904,2861,79.93285407,76.97067528,49.69332382,96146,41811,CA
Berkeley,2014_11_04,2014,General,8549,5942,6388,3626,39425,2449,2313,1805,1083,19131,28.64662534,38.92628745,28.2561052,29.86762272,48.52504756,39622359,263159,150.5643318,1050,6466,6376,777,3580,7520,12074,945,6614,2705,5759,7646,431,2512,2370,381,1521,3463,5723,502,3468,986,2061,2930,41.04761905,38.84936591,37.1706399,49.03474903,42.48603352,46.05053191,47.39937055,53.12169312,52.43423042,36.45101664,35.7874631,38.32069056,149833.4451,27403,3717,15848,1931,57.83308397,51.95049771,53.49630523,96146,26781,CA
Albany,2020_11_03,2020,General,2405,147,1035,641,6169,1982,120,896,518,5517,82.41164241,81.63265306,86.57004831,80.81123245,89.4310261,2982022,29244,101.9703871,95,1423,1914,118,2007,873,869,147,957,711,479,676,85,1212,1660,104,1697,760,782,130,871,602,432,598,89.47368421,85.17217147,86.72936259,88.13559322,84.55406079,87.05612829,89.98849252,88.43537415,91.01358412,84.66947961,90.18789144,88.46153846,144687.9395,5107,696,4721,623,92.44174662,89.51149425,49.98297048,14462,9033,CA
Albany,2018_11_06,2018,General,2405,147,1035,641,6169,1354,90,676,375,4678,56.2993763,61.2244898,65.31400966,58.50234009,75.83076674,2893942,27827,103.9976282,95,1423,1914,118,2007,873,869,147,957,711,479,676,61,941,1298,87,1370,608,640,110,754,417,358,461,64.21052632,66.12789881,67.81609195,73.72881356,68.2610862,69.64490263,73.64787112,74.82993197,78.78787879,58.64978903,74.73903967,68.19526627,144687.9395,5107,696,4042,522,79.14626983,75,50.65397439,14462,7173,CA
Albany,2016_11_08,2016,General,2405,147,1035,641,6169,1396,88,668,379,4659,58.04573805,59.86394558,64.5410628,59.12636505,75.52277517,2936493,28594,102.6961251,95,1423,1914,118,2007,873,869,147,957,711,479,676,68,961,1293,86,1393,607,659,105,739,376,360,468,71.57894737,67.53338018,67.55485893,72.88135593,69.40707524,69.5303551,75.83429229,71.42857143,77.22048067,52.88326301,75.1565762,69.23076923,144687.9395,5107,696,4031,553,78.93087919,79.45402299,49.50459374,14462,7190,CA
Albany,2014_11_04,2014,General,2405,147,1035,641,6169,714,50,333,197,3162,29.68814969,34.01360544,32.17391304,30.73322933,51.25628141,2564493,25666,99.91790696,95,1423,1914,118,2007,873,869,147,957,711,479,676,32,569,789,60,879,408,414,75,485,188,247,281,33.68421053,39.98594519,41.22257053,50.84745763,43.79671151,46.73539519,47.64096663,51.02040816,50.67920585,26.4416315,51.565762,41.56804734,144687.9395,5107,696,2746,369,53.76933621,53.01724138,52.88407966,14462,4456,CA
San Francisco,2020_11_03,2020,General,121214,17109,63744,24416,213590,97034,12108,51897,19693,184648,80.0518092,70.7697703,81.41472139,80.65612713,86.44974016,242176811,837355,289.2164148,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,6209,33988,42399,7413,31125,31552,98190,7429,44064,11020,20103,24736,80.67827443,79.31855309,82.29779305,73.73184802,82.70666702,85.01832291,86.27991986,77.50652061,89.59193217,82.39868401,80.18107849,80.36648364,160862.1388,167420,43707,151210,37744,90.31776371,86.35687647,48.26309423,751708,365380,CA
San Francisco,2018_11_06,2018,General,121214,17109,63744,24416,213590,62838,8381,36100,13381,145680,51.84054647,48.98591385,56.63278112,54.80422674,68.20544033,229211647,808193,283.6100375,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,4590,23464,29972,5235,22511,23112,73703,5394,33945,8191,14560,17052,59.64137214,54.75845974,58.17659504,52.06882833,59.81718173,62.27635266,64.76310147,56.27543036,69.01775004,61.24570061,58.07275048,55.40141005,160862.1388,167420,43707,119440,28962,71.34153626,66.26398517,48.81083707,751708,266380,CA
San Francisco,2016_11_08,2016,General,121214,17109,63744,24416,213590,66464,9371,39018,14092,147199,54.8319501,54.77234204,61.21046687,57.71625164,68.91661595,232898990,805482,289.1423893,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,4968,24706,31336,5857,23250,23997,74194,5890,34245,8798,15506,18298,64.55301455,57.65694282,60.82416196,58.25542073,61.7808838,64.66102608,65.19454501,61.45018258,69.62771689,65.78435771,61.84588385,59.44962474,160862.1388,167420,43707,123454,31048,73.73909927,71.03667605,47.71523688,751708,276144,CA
San Francisco,2014_11_04,2014,General,121214,17109,63744,24416,213590,36555,5136,18734,6770,86239,30.15740756,30.01928809,29.38943273,27.72771953,40.37595393,172962941,679521,254.5365647,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,2852,12756,16981,3600,12499,13531,40261,3691,19354,5731,9445,10168,37.05821206,29.76896149,32.96065529,35.80664412,33.21287168,36.45990515,35.37749113,38.50808555,39.35099526,42.851802,37.67150606,33.03551123,160862.1388,167420,43707,75820,19043,45.2873014,43.56967991,52.16810853,751708,153434,CA
San Francisco,2019_11_05,2019,Consolidated_General,121214,17109,63744,24416,213590,38795,4775,17957,6793,86180,32.00537892,27.90928751,28.17049448,27.82192005,40.34833091,182370400,638743,285.5145184,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,2777,13163,16993,3376,12945,13574,41433,3538,19705,5468,9054,9932,36.08367983,30.71878646,32.98394767,33.57867515,34.39800175,36.57577064,36.4073319,36.91184142,40.06465649,40.88529984,36.11199745,32.26875467,160862.1388,167420,43707,73408,17534,43.84661331,40.11714371,54.0516407,751708,154500,CA
San Francisco,2015_11_03,2015,Consolidated_General,121214,17109,63744,24416,213590,33622,3925,16274,5726,75693,27.73772007,22.94114209,25.53024598,23.45183486,35.43845686,164576938,618817,265.9541318,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,2556,11366,15019,3283,11216,11913,34732,3534,16857,5214,8302,8908,33.21205821,26.52508751,29.15235156,32.65367018,29.80362979,32.10012934,30.51913817,36.87010955,34.27403778,38.98609242,33.11263561,28.94181098,160862.1388,167420,43707,66739,16683,39.86321825,38.17008717,53.59768065,751708,135240,CA
San Francisco,2013_11_05,2013,Consolidated_General,121214,17109,63744,24416,213590,21515,2273,8746,3312,48216,17.74959988,13.28540534,13.72050703,13.56487549,22.57409055,109212213,477737,228.6032126,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,1631,6646,9130,2214,6849,7506,21254,2341,10231,3733,5600,5520,21.19282744,15.50991832,17.72161727,22.02108613,18.19945261,20.22526407,18.67596921,24.42357851,20.8019031,27.91236728,22.33567326,17.93430586,160862.1388,167420,43707,43279,10797,25.85055549,24.7031368,55.89440759,751708,84062,CA
San Francisco,2011_11_08,2011,Consolidated_General,121214,17109,63744,24416,213590,32779,3419,13447,4843,61982,27.04225585,19.98363434,21.09531878,19.83535387,29.01914884,145631542,539611,269.8824561,7696,42850,51519,10054,37633,37112,113804,9585,49183,13374,25072,30779,2252,9880,13178,2968,9415,10646,28204,3072,14283,4912,7751,8072,29.26195426,23.0571762,25.57891263,29.52058882,25.01793639,28.68613925,24.78296018,32.05007825,29.04052213,36.72797966,30.9149649,26.22567335,160862.1388,167420,43707,59852,15561,35.74961175,35.60299266,52.84689783,751708,116470,CA
San Diego,2020_11_03,2020,General,71786,22501,181747,37173,367189,56598,16710,130452,28786,310564,78.84267127,74.26336607,71.77670058,77.43792538,84.5787864,55067705,551743,99.80680317,10548,94637,83853,12071,48688,42377,40102,26721,44228,53361,94290,118544,8079,76839,70583,9213,41109,36172,35178,18841,38988,37728,71011,92164,76.592719,81.19340216,84.17468665,76.32341977,84.43353598,85.35762324,87.72131066,70.5100857,88.15230171,70.70332265,75.31127373,77.74665947,117744.0575,277172,83021,245863,68790,88.70412596,82.85855386,48.43328875,1088768,543110,CA
San Diego,2018_11_06,2018,General,71786,22501,181747,37173,367189,31975,11061,79429,17709,231306,44.54211128,49.15781521,43.70305975,47.6394157,62.99371713,51416241,530094,96.99457266,10548,94637,83853,12071,48688,42377,40102,26721,44228,53361,94290,118544,5414,52431,49386,6420,28832,25972,25744,12298,28851,24445,46694,60520,51.32726583,55.40222112,58.89592501,53.18532019,59.21787709,61.28796281,64.19629944,46.02372666,65.23243194,45.81061075,49.52168841,51.05277365,117744.0575,277172,83021,187592,49639,67.68071811,59.79089628,50.15829458,1088768,371480,CA
San Diego,2016_11_08,2016,General,71786,22501,181747,37173,367189,33906,12157,95363,19365,240118,47.23205082,54.02870984,52.47019208,52.09426196,65.39357116,51702657,524562,98.56348153,10548,94637,83853,12071,48688,42377,40102,26721,44228,53361,94290,118544,5964,55504,52635,7208,30239,27178,26651,14213,29880,28222,52019,66182,56.54152446,58.64936547,62.77056277,59.7133626,62.10770621,64.13384619,66.45803202,53.19037461,67.55901239,52.88881393,55.16915898,55.82905925,117744.0575,277172,83021,197891,56460,71.3964614,68.00688982,48.28377242,1088768,400909,CA
San Diego,2014_11_04,2014,General,71786,22501,181747,37173,367189,14618,5512,33723,7914,134965,20.36330204,24.49668904,18.55491425,21.28964571,36.75627538,45007116,450831,99.83145791,10548,94637,83853,12071,48688,42377,40102,26721,44228,53361,94290,118544,3033,27306,26305,3731,15160,14203,14131,6848,16541,12875,24122,30067,28.75426621,28.85340829,31.37037435,30.90878966,31.13703582,33.51582226,35.23764401,25.62778339,37.399385,24.12810854,25.58277654,25.36357808,117744.0575,277172,83021,111959,28712,40.39332977,34.58402091,54.05132411,1088768,196732,CA
San Jose,2020_11_03,2020,General,154854,4789,133822,27036,162597,122251,3691,100445,21432,139558,78.94597492,77.07245772,75.05866001,79.27208167,85.83061188,31249678,386693,80.81262914,5019,50531,64624,6367,54179,46781,67546,11047,56605,16679,47273,51386,3898,39256,50969,5054,43325,38570,57562,9099,48717,13284,35752,38962,77.66487348,77.68696444,78.87007923,79.37804303,79.96640765,82.44800239,85.21896189,82.36625328,86.06483526,79.64506265,75.62879445,75.82220838,148608.2944,198354,70150,175240,58724,88.34709661,83.71204562,49.1854601,772346,387377,CA
San Jose,2018_11_06,2018,General,154854,4789,133822,27036,162597,69887,2250,62609,13010,106264,45.13089749,46.98266862,46.78528194,48.12102382,65.35421933,28904230,352502,81.99735037,5019,50531,64624,6367,54179,46781,67546,11047,56605,16679,47273,51386,2490,24420,32003,3506,28184,25543,39438,6743,33521,9307,22946,24236,49.61147639,48.32676971,49.52184947,55.06517983,52.02015541,54.60122699,58.38687709,61.03919616,59.21915025,55.80070748,48.53933535,47.16459736,148608.2944,198354,70150,127570,41057,64.31430674,58.5274412,51.05759468,772346,254020,CA
San Jose,2016_11_08,2016,General,154854,4789,133822,27036,162597,77442,2459,72191,14379,111626,50.00968654,51.3468365,53.9455396,53.1846427,68.65194315,28902758,353085,81.85779062,5019,50531,64624,6367,54179,46781,67546,11047,56605,16679,47273,51386,2824,27149,35608,3929,30602,27708,41795,7343,35692,10359,25696,27447,56.26618848,53.72741485,55.10027234,61.70881106,56.48313922,59.22917424,61.87635093,66.47053499,63.05450049,62.10804005,54.35660948,53.41338108,148608.2944,198354,70150,137408,46403,69.27412606,66.14825374,49.2654579,772346,278097,CA
San Jose,2014_11_04,2014,General,154854,4789,133822,27036,162597,41528,1134,30107,6092,67856,26.81751844,23.67926498,22.49779558,22.53291907,41.73262729,23391454,289344,80.84305878,5019,50531,64624,6367,54179,46781,67546,11047,56605,16679,47273,51386,1435,13414,17602,2301,15761,14378,22443,4799,19210,6560,14234,13615,28.59135286,26.54608062,27.2375588,36.13946914,29.09060706,30.73469999,33.22624582,43.44165837,33.93693137,39.33089514,30.1102109,26.49554353,148608.2944,198354,70150,80533,25351,40.60064329,36.13827512,53.94106654,772346,146717,CA
Fresno,2020_11_03,2020,General,30778,9626,119192,10784,113773,18728,6175,75493,8056,88501,60.84865813,64.14917931,63.33730452,74.70326409,77.78734849,12537254,119189,105.1880123,8066,25752,20598,15602,6698,7421,5962,26451,8374,39897,67469,48122,5138,19917,16415,8752,5384,6031,5081,15001,7077,24578,45675,35860,63.6994793,77.3415657,79.69220313,56.09537239,80.38220364,81.2693707,85.2230795,56.71241163,84.51158347,61.60362935,67.69775749,74.51893105,81608.77382,97330,50333,79788,38124,81.97678003,75.74354797,49.04398305,358130,196953,CA
Fresno,2018_11_06,2018,General,30778,9626,119192,10784,113773,10348,3895,44965,5241,64835,33.6214179,40.46332849,37.72484731,48.59977745,56.9862797,11943029,113508,105.2175089,8066,25752,20598,15602,6698,7421,5962,26451,8374,39897,67469,48122,3245,13680,11186,5262,3672,4249,3764,9138,5101,15532,29145,24094,40.23059757,53.1220876,54.30624332,33.72644533,54.82233503,57.25643444,63.13317679,34.54689804,60.91473609,38.93024538,43.19761668,50.0685757,81608.77382,97330,50333,59249,26897,60.87434501,53.43810224,51.55336059,358130,129284,CA
Fresno,2016_11_08,2016,General,30778,9626,119192,10784,113773,11025,4480,52078,5551,69463,35.821041,46.54061916,43.6925297,51.47440653,61.05402864,11919558,111479,106.9220032,8066,25752,20598,15602,6698,7421,5962,26451,8374,39897,67469,48122,3769,14664,11945,6092,3919,4426,3898,10654,5380,17784,32533,26074,46.72700223,56.94315005,57.99106709,39.04627612,58.51000299,59.64155774,65.38074472,40.27825035,64.24647719,44.57478006,48.21918214,54.18311791,81608.77382,97330,50333,63237,30378,64.97174561,60.35404208,49.13190539,358130,142597,CA
Fresno,2014_11_04,2014,General,30778,9626,119192,10784,113773,5385,2023,20777,3150,41982,17.49626356,21.01599834,17.43153903,29.20994065,36.89979169,10217495,97134,105.1896864,8066,25752,20598,15602,6698,7421,5962,26451,8374,39897,67469,48122,1820,7723,6343,3022,2031,2392,2255,5257,3263,8851,15983,13595,22.56384825,29.9899037,30.79425187,19.36931163,30.32248432,32.23285272,37.82287823,19.8744849,38.96584667,22.18462541,23.68939809,28.25111176,81608.77382,97330,50333,37641,16100,38.67358471,31.9869668,54.63917077,358130,73317,CA
Eureka,2020_11_03,2020,General,831,123,2466,453,22716,474,92,1795,350,18229,57.03971119,74.79674797,72.78994323,77.26269316,80.24740271,1213856,28735,42.24311815,699,1693,1595,793,602,556,443,1412,654,2781,9643,5078,541,1435,1314,638,524,476,382,1064,549,2174,7274,4160,77.3962804,84.76077968,82.38244514,80.45397226,87.04318937,85.61151079,86.23024831,75.35410765,83.94495413,78.17331895,75.43295655,81.92201654,81007.45431,10855,4848,9441,4119,86.97374482,84.96287129,52.57417299,21225,20940,CA
Eureka,2018_11_06,2018,General,831,123,2466,453,22716,260,69,1159,263,13567,31.28760529,56.09756098,46.99918897,58.05739514,59.72442331,1214136,28720,42.27493036,699,1693,1595,793,602,556,443,1412,654,2781,9643,5078,381,1076,995,469,380,367,291,756,430,1612,5218,3073,54.50643777,63.55581807,62.38244514,59.14249685,63.12292359,66.00719424,65.68848758,53.54107649,65.74923547,57.96476088,54.11179094,60.51595116,81007.45431,10855,4848,7443,3244,68.56748042,66.91419142,53.96926247,21225,15318,CA
Eureka,2016_11_08,2016,General,831,123,2466,453,22716,340,63,1302,267,14585,40.91456077,51.2195122,52.79805353,58.94039735,64.2058461,1199042,28043,42.75726563,699,1693,1595,793,602,556,443,1412,654,2781,9643,5078,424,1161,1084,518,429,387,318,818,465,1729,5586,3310,60.65808298,68.57649144,67.96238245,65.32156368,71.26245847,69.60431655,71.78329571,57.93201133,71.10091743,62.17188062,57.9280307,65.18314297,81007.45431,10855,4848,7986,3563,73.56978351,73.49422442,51.80798504,21225,16557,CA
Eureka,2014_11_04,2014,General,831,123,2466,453,22716,164,39,653,181,9629,19.73525872,31.70731707,26.48012976,39.95584989,42.38862476,1080762,26380,40.96899166,699,1693,1595,793,602,556,443,1412,654,2781,9643,5078,270,803,689,344,269,267,219,539,329,1157,3443,2142,38.62660944,47.43059657,43.19749216,43.37957125,44.68438538,48.02158273,49.43566591,38.17280453,50.3058104,41.60373966,35.70465623,42.1819614,81007.45431,10855,4848,5467,2511,50.36388761,51.79455446,55.04497911,21225,10666,CA
Eureka,2017_11_07,2017,Consolidated_General,831,123,2466,453,22716,28,3,100,29,1467,3.369434416,2.43902439,4.055150041,6.401766004,6.45800317,178093,4265,41.75685815,699,1693,1595,793,602,556,443,1412,654,2781,9643,5078,40,133,90,69,46,36,19,101,53,208,460,356,5.722460658,7.855877141,5.642633229,8.701134931,7.641196013,6.474820144,4.288939052,7.152974504,8.103975535,7.479323984,4.770299699,7.010634108,81007.45431,10855,4848,850,455,7.83049286,9.385313531,63.89787785,21225,1627,CA
